"衝突類型","論文名稱","發表年份","教師","不一致內容","正確的","各筆明細"
"刊物名稱不一致","從國外角度分析國內家庭專科護理師的課程規劃及困境","2024","于素英、林慧萍","台灣專科護理師學刊 | 專科護理師學刊","台灣專科護理師學刊","于素英: 台灣專科護理師學刊 || 林慧萍: 專科護理師學刊"
"刊物名稱不一致","遊戲化教學運用在護理教育","2024","吳美玲、趙莉芬、蕭冰如","護理雜誌 | The Journal of Nursing","護理雜誌","吳美玲: 護理雜誌 || 趙莉芬: The Journal of Nursing || 蕭冰如: 護理雜誌"
"刊物名稱不一致","Anticoronavirus Isoquinoline Alkaloids: Unraveling the Secrets of Their Structure-Activity Relationship","2025","黃聰龍、陳俞利","Influenza and Other Respiratory Viruses | Influenza Other Respir Viruses","Influenza and Other Respiratory Viruses","黃聰龍: Influenza and Other Respiratory Viruses || 陳俞利: Influenza Other Respir Viruses"
"刊物名稱不一致","Comparative Analysis of Multidisciplinary Complementary Intervention Versus Routine Physiotherapy Rehabilitation to Reduce Kinesiophobia in Patients with Knee Osteoarthritis Undergoing Total Knee Replacement: A Systematic Review and Meta-Analysis","2025","郭雅雯、劉美君","Sports Medicine-Open | Sports Medicine – Open","Sports Medicine - Open","郭雅雯: Sports Medicine-Open || 劉美君: Sports Medicine – Open"
"刊物名稱不一致","Enhancing skin permeation of arbutin with fractional CO2 laser","2025","黃俊薰、蕭千祐","長庚科技學刊 | Chang Gung Journal of Sciences","長庚科技學刊","黃俊薰: 長庚科技學刊 || 蕭千祐: Chang Gung Journal of Sciences"
"刊物名稱不一致","High-Burden and Self-Efficacy Are Associated with Quality of Life in Family Caregivers in Taiwan: A Cross-Sectional Study","2025","張淑紅、張怡雅","Sage Open Aging | Sage Open Aging: Gerontology and Geriatric Medicine","Sage Open Aging","張淑紅: Sage Open Aging || 張怡雅: Sage Open Aging: Gerontology and Geriatric Medicine"
"刊物名稱不一致","IPSC-Derived Conditioned Medium Reduces Oxidative Stress and Vascular Remodeling in Rat Models of Pulmonary Arterial Hypertension","2025","李江文、許麗芬","Journal of Cellular Physiology | J Cell Physiol . 2025 Aug;240(8):e70085. doi: 10.1002/jcp.70085.","Journal of Cellular Physiology","李江文: Journal of Cellular Physiology || 許麗芬: J Cell Physiol . 2025 Aug;240(8):e70085. doi: 10.1002/jcp.70085."
"刊物名稱不一致","Motivation in rare disease self-care: A phenomenological study of pediatric patients with spinal muscular atrophy and their caregivers","2025","李玉秀、楊寶圜","Journal of Nursing Research | The Journal of Nursing Research","The Journal of Nursing Research","李玉秀: Journal of Nursing Research || 楊寶圜: The Journal of Nursing Research"
"刊物名稱不一致","Neochlorogenic acid ameliorates allergic airway inflammation by suppressing type 2 immunity and upregulating HO-1 expression","2025","劉倩君、林傳福、吳淑如、黃文忠、黃澤宏、鄭淑臻","International Immunopharmacology | Int Immunopharmacol","International Immunopharmacology","劉倩君: International Immunopharmacology || 林傳福: International Immunopharmacology || 吳淑如: International Immunopharmacology || 黃文忠: International Immunopharmacology || 黃澤宏: International Immunopharmacology || 鄭淑臻: Int Immunopharmacol"
"刊物名稱不一致","Oral Administration of Trichosanthes Kirilowii Fruit Extract Ameliorates Airway Inflammation and Suppresses Th2 Cell Activities in Ovalbumin-Sensitized Mice","2025","劉倩君、林傳福、黃文忠、鄭淑臻","Kaohsiung Journal of Medical Sciences | The Kaohsiung Journal of Medical Sciences","The Kaohsiung Journal of Medical Sciences","劉倩君: Kaohsiung Journal of Medical Sciences || 林傳福: The Kaohsiung Journal of Medical Sciences || 黃文忠: Kaohsiung Journal of Medical Sciences || 鄭淑臻: The Kaohsiung Journal of Medical Sciences"
"刊物名稱不一致","Psychological distress and the needs of family members of critically ill patients in emergency departments during the COVID-19 pandemic: A cross-sectional study","2025","范君瑜、韓晶彥","Journal of Emergency Nursing | Jurnal of Emergency Nursing","Journal of Emergency Nursing","范君瑜: Journal of Emergency Nursing || 韓晶彥: Jurnal of Emergency Nursing"
"刊物名稱不一致","Skin pretreatment with a fractional Er:YAG laser promotes the transdermal delivery of vitamin C derivative","2025","黃俊薰、蕭千祐","長庚科技學刊 | 長庚科技期刊","長庚科技學刊","黃俊薰: 長庚科技學刊 || 蕭千祐: 長庚科技期刊"
"刊物名稱不一致","Systematic Review of Natural Briaranes in Marine Organisms (2020-2024): Chemical Structures and Bioactivities","2025","張祐嘉、黃聰龍","Chemical & Pharmaceutical Bulletin | Chemical and Pharmaceutical Bulletin","Chemical & Pharmaceutical Bulletin","張祐嘉: Chemical & Pharmaceutical Bulletin || 黃聰龍: Chemical and Pharmaceutical Bulletin"
"刊物名稱不一致","The relationship between health literacy and medical decision conflict among parents of children newly diagnosed with central precocious puberty","2025","陳美燕、劉英妹","Journal of Pediatric Nursing-Nursing Care of Children & Families | Journal of Pediatric Nursing","Journal of Pediatric Nursing","陳美燕: Journal of Pediatric Nursing-Nursing Care of Children & Families || 劉英妹: Journal of Pediatric Nursing"
"刊物名稱不一致","The role of PM2.5 exposure in lung cancer: mechanisms, genetic factors, and clinical implications","2025","王東弘、陳琦媛","Embo Molecular Medicine | Embo Mol Med","EMBO Molecular Medicine","王東弘: Embo Molecular Medicine || 陳琦媛: Embo Mol Med"
"刊物名稱不一致","Unmet Care Needs of Colorectal Cancer Survivors in Taiwan and Related Predictors","2025","黃湘萍、劉英妹、簡淑慧","Journal of Nursing Research | The Journal of Nursing Research","The Journal of Nursing Research","黃湘萍: Journal of Nursing Research || 劉英妹: Journal of Nursing Research || 簡淑慧: The Journal of Nursing Research"
"刊物名稱不一致","人工智慧科技於幼兒近視防治之應用：近距離用眼行為監測與實務展望","2025","張麗春、熊曉芳","學校衛生護理雜誌 | 學校衛生護理期刊","學校衛生護理期刊","張麗春: 學校衛生護理雜誌 || 熊曉芳: 學校衛生護理期刊"
"刊物名稱不一致","複頻超音波輔助不同溶劑萃取丹參莖葉產物其化學組成及抗氧化性質之反應曲面影響","2025","李明怡、林竫怡、鍾成沛、李昱宗","長庚科技大學期刊 | 長庚科技學刊","長庚科技學刊","李明怡: 長庚科技大學期刊 || 林竫怡: 長庚科技學刊 || 鍾成沛: 長庚科技學刊 || 李昱宗: 長庚科技學刊"
"收錄分類不一致","Acetylshikonin induces necroptosis via the RIPK1/RIPK3-dependent pathway in lung cancer","2023","李江文、紀妙青、江耀璋","SCI | SCIE","SCIE","李江文: SCI || 紀妙青: SCIE || 江耀璋: SCIE"
"收錄分類不一致","An exploration of psychological resilience among undergraduate nursing students undertaking an adult nursing virtual practicum during the coronavirus pandemic in Taiwan: A qualitative study","2023","韓晶彥、林春只","SCI, SCIE, SSCI | SCI, SCIE","SCIE, SSCI","韓晶彥: SCI, SCIE, SSCI || 林春只: SCI, SCIE"
"收錄分類不一致","Antrodin C Isolated from Antrodia Cinnamomea Induced Apoptosis through ROS/AKT/ERK/P38 Signaling Pathway and Epigenetic Histone Acetylation of TNFα in Colorectal Cancer Cells","2023","郭星君、鄧志娟","SCI, SCIE | SCIE","SCIE","郭星君: SCI, SCIE || 鄧志娟: SCIE"
"收錄分類不一致","Assessing hand hygiene knowledge,attitude,behavior and adherence among nursing assistants: Across-sectional study","2023","黃湘萍、簡麗瑜","SCI, SSCI | SCI, SCIE, SSCI","SCIE, SSCI","黃湘萍: SCI, SSCI || 簡麗瑜: SCI, SCIE, SSCI"
"收錄分類不一致","Associations between domestic violence and poor pregnancy outcomes in taiwanese women: a nested case–control study","2023","林嘉玲、孫瑞瓊","SCI | SCI, SSCI","SCIE","林嘉玲: SCI || 孫瑞瓊: SCI, SSCI"
"收錄分類不一致","AuAg nanocomposites suppress biofilm-induced inflammation in human osteoblasts","2023","江耀璋、李江文、林資展","SCI, SCIE | SCI","SCIE","江耀璋: SCI, SCIE || 李江文: SCI || 林資展: SCI"
"收錄分類不一致","Burnout and Mental Health and Well-Being of School Nurses After the First Wave of the COVID-19 Pandemic: A National Cross-Sectional Survey","2023","張麗春、陳曉蓉","SCI, SSCI | SCI, SCIE, SSCI","SCIE, SSCI","張麗春: SCI, SSCI || 陳曉蓉: SCI, SCIE, SSCI"
"收錄分類不一致","Corylin Attenuates CCl4-Induced Liver Fibrosis in Mice by Regulating the GAS6/AXL Signaling Pathway in Hepatic Stellate Cells","2023","王東弘、陳琦媛","SCI, SSCI | SCI","SCIE","王東弘: SCI, SSCI || 陳琦媛: SCI"
"收錄分類不一致","CXCL14 promotes metastasis of non-small cell lung cancer through ACKR2-depended signaling pathway","2023","紀妙青、江耀璋、李江文","SCI, SCIE | SCI","SCIE","紀妙青: SCI, SCIE || 江耀璋: SCI, SCIE || 李江文: SCI"
"收錄分類不一致","Development and Evaluation of Neighborhood Care Volunteer Training Programs—Preparing for Older Adult Community Care in Taiwan","2023","宋雅俐、車慧蓮、黃惠玲、龔本珍","SCI, SSCI | SCIE, SSCI | SCI, SCIE, SSCI","SCIE, SSCI","宋雅俐: SCI, SSCI || 車慧蓮: SCIE, SSCI || 黃惠玲: SCIE, SSCI || 龔本珍: SCI, SCIE, SSCI"
"收錄分類不一致","Effectiveness of clinical mentorship program for students of long-term aged care: A mixed-methods study","2023","車慧蓮、黃惠玲、龔本珍","SCI, SCIE | SCI, SCIE, SSCI","SCIE, SSCI","車慧蓮: SCI, SCIE || 黃惠玲: SCI, SCIE, SSCI || 龔本珍: SCI, SCIE, SSCI"
"收錄分類不一致","Effectiveness of differentiated instruction on learning outcomes and learning satisfaction in the evidence-based nursing course: Empirical research quantitative","2023","張家豪、劉淑如、鄭靜瑜","SSCI | SCI, SCIE, SSCI | SCIE, SSCI","SCIE, SSCI","張家豪: SSCI || 劉淑如: SCI, SCIE, SSCI || 鄭靜瑜: SCIE, SSCI"
"收錄分類不一致","Efficacy of a multicomponent exercise training program intervention in community-dwelling older adults during the COVID-19 pandemic: A cluster randomized controlled trial","2023","江勁政、張淑紅、簡乃卉","SCI, SSCI | SCI, SCIE, SSCI","SCIE, SSCI","江勁政: SCI, SSCI || 張淑紅: SCI, SSCI || 簡乃卉: SCI, SCIE, SSCI"
"收錄分類不一致","Exposure to incense burning, biomarkers, and the physical health of temple workers in Taiwan","2023","紀妙青、郭素娥","SCI, SCIE | SCI","SCIE","紀妙青: SCI, SCIE || 郭素娥: SCI"
"收錄分類不一致","Factors Associated with Unplanned Hospitalizations of Nursing Home Residents","2023","巫菲翎、熊曉芳","SCI, SSCI | SCIE","SCIE","巫菲翎: SCI, SSCI || 熊曉芳: SCIE"
"收錄分類不一致","From self-care behaviours to cardiometabolic risks prevention for the health of farmers: Nursing implications","2023","張家豪、陳美燕","SCI, SCIE, SSCI | SCI, SSCI","SCIE, SSCI","張家豪: SCI, SCIE, SSCI || 陳美燕: SCI, SSCI"
"收錄分類不一致","Impact of rehabilitation adherence and depressive symptoms on post-stroke self-care ability and quality of life: a longitudinal study","2023","王琤、郭玟佑","SCI, SSCI | SCI","SCIE","王琤: SCI, SSCI || 郭玟佑: SCI"
"收錄分類不一致","Mulberroside F improves airway hyperresponsiveness and inflammation in asthmatic mice","2023","劉倩君、吳淑如、黃文忠","SCIE | SCI | SCI, SCIE","SCIE","劉倩君: SCIE || 吳淑如: SCI || 黃文忠: SCI, SCIE"
"收錄分類不一致","Phillyrin attenuates airway inflammation and Th2 cell activities in a mouse asthma model","2023","林自勇、劉倩君、吳淑如、黃文忠","SCIE | SCI | SCI, SCIE","SCIE","林自勇: SCIE || 劉倩君: SCIE || 吳淑如: SCI || 黃文忠: SCI, SCIE"
"收錄分類不一致","PM2.5 promotes lung cancer progression through activation of the AhR-TMPRSS2-IL18 pathway","2023","王東弘、陳琦媛","SCI, SSCI | SCI","SCIE","王東弘: SCI, SSCI || 陳琦媛: SCI"
"收錄分類不一致","Professional Accountability of Caring for Patients with COVID-19: A Phenomenographic Study","2023","李惠玲、韓晶彥、林春只","SCIE, SSCI | SCI, SSCI","SCIE, SSCI","李惠玲: SCIE, SSCI || 韓晶彥: SCI, SSCI || 林春只: SCI, SSCI"
"收錄分類不一致","Tanshinone IIA suppresses burning incense-induced oxidative stress and inflammatory pathways in astrocytes","2023","紀妙青、江耀璋、李江文、林資展","SCI, SCIE | SCI","SCIE","紀妙青: SCI, SCIE || 江耀璋: SCI, SCIE || 李江文: SCI || 林資展: SCI"
"收錄分類不一致","Targeting anti-inflammatory immunonanocarriers to human and murine neutrophils via the Ly6 antigen for psoriasiform dermatitis alleviation","2023","黃聰龍、林資展","SCI, SCIE | SCI","SCIE","黃聰龍: SCI, SCIE || 林資展: SCI"
"收錄分類不一致","The Longitudinal Trends of Care Needs, Psychological Distress, and Quality of Life and Related Predictors in Taiwanese Colorectal Cancer Survivors","2023","黃湘萍、簡淑慧","SSCI | SCI, SSCI","SCIE, SSCI","黃湘萍: SSCI || 簡淑慧: SCI, SSCI"
"收錄分類不一致","The mediating role of spirituality on the relationships between posttraumatic stress and posttraumatic growth among patients with cancer: A cross-sectional study.","2023","蔣宜倩、蕭雅竹","SCI, SCIE | SCI, SCIE, SSCI","SCIE, SSCI","蔣宜倩: SCI, SCIE || 蕭雅竹: SCI, SCIE, SSCI"
"收錄分類不一致","The relationships among perceived stress, resilience, sleep quality and first-month retention of newly employed nurses: A cross-sectional survey","2023","林月娥、林秋子、簡麗瑜","SCIE, SSCI | SSCI | SCI, SCIE, SSCI","SCIE, SSCI","林月娥: SCIE, SSCI || 林秋子: SSCI || 簡麗瑜: SCI, SCIE, SSCI"
"收錄分類不一致","The short-and long-term effects of lower limb endurance training on outpatients with chronic obstructive pulmonary disease","2023","方瑱珮、劉瑞芳","SCI, SCIE | SSCI","SSCI","方瑱珮: SCI, SCIE || 劉瑞芳: SSCI"
"收錄分類不一致","Use of iTRAQ-based quantitative proteomic identification of CHGA and UCHL1 correlated with lymph node metastasis in colorectal carcinoma","2023","郭星君、鄧志娟","SCI, SCIE | SCIE","SCIE","郭星君: SCI, SCIE || 鄧志娟: SCIE"
"收錄分類不一致","新冠疫情下護理師靈性、正念與自我悲憫之相關性研究","2023","李香君、蔣宜倩、蕭雅竹","TSSCI | 其他","TSSCI","李香君: TSSCI || 蔣宜倩: 其他 || 蕭雅竹: TSSCI"
"收錄分類不一致","A Brain-Protective Sterol from Soft Coral Inhibits Lipopolysaccharide-Induced Matrix Metalloproteinase-9-Mediated Astrocytic Migration","2024","蔡明明、謝喜龍、張祐嘉","SCIE | SCI","SCIE","蔡明明: SCIE || 謝喜龍: SCIE || 張祐嘉: SCI"
"收錄分類不一致","Caregiving management needs and predictors for family caregivers of persons with dementia: A cross-sectional study","2024","黃惠玲、龔本珍","SSCI | SCI","SCIE","黃惠玲: SSCI || 龔本珍: SCI"
"收錄分類不一致","Coexisting with anomie: Experiences of persons living with early-stage dementia: A grounded theory study","2024","黃惠玲、龔本珍","SSCI | SCI, SCIE, SSCI","SCIE, SSCI","黃惠玲: SSCI || 龔本珍: SCI, SCIE, SSCI"
"收錄分類不一致","Comparison of Optical Properties and Fracture Loads of Multilayer Monolithic Zirconia Crowns with Different Yttria Levels","2024","紀妙青、林資展","SCI, SCIE | SCI","SCIE","紀妙青: SCI, SCIE || 林資展: SCI"
"收錄分類不一致","Critical Care Experience Shapes Respiratory Therapists' Attitudes toward Death: A Survey Study","2024","陳慧秦、劉瑞芳","SCI, SSCI | SCI","SCIE, SSCI","陳慧秦: SCI, SSCI || 劉瑞芳: SCI"
"收錄分類不一致","Deciphering the Liaison Between Fine Particulate Matter Pollution, Oxidative Stress, and Prostate Cancer: Where Are We Now?","2024","李江文、紀妙青、江耀璋","SCI | SCIE | SCI, SCIE","SCIE","李江文: SCI || 紀妙青: SCIE || 江耀璋: SCI, SCIE"
"收錄分類不一致","Development and validation of a Chinese version chronic wound health-related quality of life instrument: A methodological study","2024","洪嫦巧、張家豪","SCI | SCI, SCIE, SSCI","SCIE, SSCI","洪嫦巧: SCI || 張家豪: SCI, SCIE, SSCI"
"收錄分類不一致","Development and validation of the Unmet Needs Questionnaire for young stroke survivors","2024","王琤、郭玟佑","SCIE | SCI","SSCI","王琤: SCIE || 郭玟佑: SCI"
"收錄分類不一致","Development of nanoparticles incorporated with quercetin and ACE2-membrane as a novel therapy for COVID-19","2024","王東弘、陳琦媛、林資展","SCI, SSCI | SCIE | SCI","SCIE","王東弘: SCI, SSCI || 陳琦媛: SCIE || 林資展: SCI"
"收錄分類不一致","Effect of Physical Exercise on Executive Functions Using the Emotional Stroop Task in Perimenopausal Women: A Pilot Study","2024","吳麗瑜、倪麗芬、黃人珍","SCI, SSCI | SSCI","SSCI","吳麗瑜: SCI, SSCI || 倪麗芬: SSCI || 黃人珍: SSCI"
"收錄分類不一致","Effectiveness of a virtual reality triage simulation program for nursing students: A mixed-methods study","2024","張靜宜、趙莉芬、韓晶彥、林春只","SSCI | SCIE","SCIE, SSCI","張靜宜: SSCI || 趙莉芬: SCIE || 韓晶彥: SCIE || 林春只: SSCI"
"收錄分類不一致","Effects of an unfolding case study on clinical reasoning, self-directed learning, and team collaboration of undergraduate nursing students: A mixed methods study","2024","洪嫦巧、劉淑如、鄭靜瑜","SCI | SCI, SCIE, SSCI","SCIE, SSCI","洪嫦巧: SCI || 劉淑如: SCI, SCIE, SSCI || 鄭靜瑜: SCI, SCIE, SSCI"
"收錄分類不一致","Exploring a learning model for knowledge integration and the development of critical thinking among nursing students with previous learning: a qualitative study protocol","2024","韓晶彥、林春只、辜漢章","SCIE | SSCI | SCIE, SSCI","SCIE, SSCI","韓晶彥: SCIE || 林春只: SSCI || 辜漢章: SCIE, SSCI"
"收錄分類不一致","Exploring anti-inflammatory non-essential oil metabolites in Mentha canadensis: Insights into neutrophil extracellular trap inhibition for functional health promotion","2024","黃聰龍、張祐嘉","SCI, SCIE | SCI","SCIE","黃聰龍: SCI, SCIE || 張祐嘉: SCI"
"收錄分類不一致","Facile adipocyte uptake and liver/adipose tissue delivery of conjugated linoleic acid-loaded tocol nanocarriers for a synergistic anti-adipogenesis effect","2024","許青雲、林資展","SCIE | SCI","SCIE","許青雲: SCIE || 林資展: SCI"
"收錄分類不一致","Guizhi Fuling Wan ameliorates concanavalin A-induced autoimmune hepatitis in mice","2024","黃聰龍、張祐嘉","SCI, SCIE | SCI","SCIE","黃聰龍: SCI, SCIE || 張祐嘉: SCI"
"收錄分類不一致","Gypenoside XIII regulates lipid metabolism in HepG2 hepatocytes and ameliorates nonalcoholic steatohepatitis in mice","2024","劉倩君、黃文忠、鄭淑臻","SCIE | SCI, SCIE | SCI","SCIE","劉倩君: SCIE || 黃文忠: SCI, SCIE || 鄭淑臻: SCI"
"收錄分類不一致","Licochalcone D ameliorates lipid metabolism in hepatocytes by modulating lipogenesis and autophagy","2024","劉倩君、黃文忠、鄭淑臻","SCIE | SCI, SCIE | SCI","SCIE","劉倩君: SCIE || 黃文忠: SCI, SCIE || 鄭淑臻: SCI"
"收錄分類不一致","Lonicera japonica Thunb. Ethanol Extract Exerts a Protective Effect on Normal Human Gastric Epithelial Cells by Modulating the Activity of Tumor-Necrosis-Factor-α-Induced Inflammatory Cyclooxygenase 2/Prostaglandin E2 and Matrix Metalloproteinase 9","2024","蔡明明、謝喜龍、張祐嘉","SCIE | SCI","SCIE","蔡明明: SCIE || 謝喜龍: SCIE || 張祐嘉: SCI"
"收錄分類不一致","Microwave- and ultrasound-assisted extraction of pectin yield and physicochemical properties from lemon peel","2024","李明怡、鍾成沛","其他 | SCI, SCIE","其他","李明怡: 其他 || 鍾成沛: SCI, SCIE"
"收錄分類不一致","Modification and texturization of plant proteins for vegetarian shrimp applications using transglutaminase","2024","李明怡、鍾成沛","其他 | SCI","其他","李明怡: 其他 || 鍾成沛: SCI"
"收錄分類不一致","Neochlorogenic acid ameliorates allergic airway inflammation by suppressing type 2 immunity and upregulating HO-1 expression","2024","黃文忠、鄭淑臻","SCIE | SCI, SCIE","SCIE","黃文忠: SCIE || 鄭淑臻: SCI, SCIE"
"收錄分類不一致","Optimizing intubation technique using a single-use video laryngoscope: A comparative study in a simulation model","2024","紀妙青、陳慧秦、劉瑞芳","SCIE | SCI","SCIE","紀妙青: SCIE || 陳慧秦: SCIE || 劉瑞芳: SCI"
"收錄分類不一致","Promotion of ROS-mediated apoptosis, G2/M arrest, and autophagy by naringenin in non-small cell lung cancer","2024","李江文、紀妙青、江耀璋","SCI | SCI, SCIE","SCIE","李江文: SCI || 紀妙青: SCI, SCIE || 江耀璋: SCI, SCIE"
"收錄分類不一致","Protective effects of myricetin on airway inflammation and oxidative stress in ovalbumin-induced asthma mice","2024","劉倩君、黃文忠、黃澤宏","SCIE | SCI, SCIE","SCIE","劉倩君: SCIE || 黃文忠: SCI, SCIE || 黃澤宏: SCIE"
"收錄分類不一致","Punicalagin from pomegranate ameliorates TNF-α/IFN-γ-induced inflammatory responses in HaCaT cells via regulation of SIRT1/STAT3 axis and Nrf2/HO-1 signaling pathway","2024","劉倩君、黃俊薰、吳淑如、黃文忠","SCI, SCIE | SCI","SCIE","劉倩君: SCI, SCIE || 黃俊薰: SCI || 吳淑如: SCI || 黃文忠: SCI, SCIE"
"收錄分類不一致","Ribociclib leverages phosphodiesterase 4 inhibition in the treatment of neutrophilic inflammation and acute respiratory distress syndrome","2024","黃聰龍、陳俞利","SCI, SCIE | SCI","SCIE","黃聰龍: SCI, SCIE || 陳俞利: SCI"
"收錄分類不一致","Shared decision-making, treatment decision regret, and vision-related quality of life among parents of children with myopia: An online survey in Taiwan","2024","王亞妮、張麗春","SCIE | SCI, SSCI","SCIE","王亞妮: SCIE || 張麗春: SCI, SSCI"
"收錄分類不一致","Synergistic Fat-Reducing Effect of Deoxycholic Acid and Rhein in Lipid-Based Nanoparticles with Reduced Toxicity for Obesity Treatment","2024","黃澤宏、林資展","SCIE | SCI","SCIE","黃澤宏: SCIE || 林資展: SCI"
"收錄分類不一致","Target and non-target analysis with molecular network strategies for identifying potential index compounds from Momordica charantia L. for alleviating non-alcoholic fatty liver","2024","邱群惠、李昱宗","SCI, SCIE | SCIE","SCIE","邱群惠: SCI, SCIE || 李昱宗: SCIE"
"收錄分類不一致","Team interaction behaviors correlates with team creativity among nursing students: Canonical correlation and moderation analyses","2024","江貞紅、陳秀芳、劉杏元、韓晶彥","SCIE, SSCI | SCI, SCIE, SSCI","SCIE","江貞紅: SCIE, SSCI || 陳秀芳: SCIE, SSCI || 劉杏元: SCI, SCIE, SSCI || 韓晶彥: SCIE, SSCI"
"收錄分類不一致","Training students to serve as standardized patients in an objective structured clinical examination is feasible: A mixed-methods study","2024","吳美玲、洪毓婷、趙莉芬","SCI, SSCI | SCI, SCIE, SSCI | SCIE, SSCI","SCIE, SSCI","吳美玲: SCI, SSCI || 洪毓婷: SCI, SCIE, SSCI || 趙莉芬: SCIE, SSCI"
"收錄分類不一致","Trajectory of change in perceived stress, coping strategies and clinical competence among undergraduate nursing students during clinical practicum: a longitudinal cohort study","2024","范君瑜、蔡青青、蔡麗紅","SCI, SSCI | SCIE, SSCI | SCI","SCIE, SSCI","范君瑜: SCI, SSCI || 蔡青青: SCIE, SSCI || 蔡麗紅: SCI"
"收錄分類不一致","遊戲化教學運用在護理教育","2024","吳美玲、趙莉芬、蕭冰如","其他 | TSSCI","其他","吳美玲: 其他 || 趙莉芬: 其他 || 蕭冰如: TSSCI"
"收錄分類不一致","4'-hydroxywogonin inhibits oral squamous cell carcinoma progression by targeting Gas6/Axl signaling axis","2025","王東弘、陳琦媛","SCI, SCIE | SCI","SCIE","王東弘: SCI, SCIE || 陳琦媛: SCI"
"收錄分類不一致","A web-based, user-centered decision aid to support parental choices in myopia control: A development and usability study","2025","張麗春、陳曉蓉","SCI, SCIE, SSCI | SCIE, SSCI","SCIE, SSCI","張麗春: SCI, SCIE, SSCI || 陳曉蓉: SCIE, SSCI"
