"主聘系所","作者順序","刊物名稱","專兼任","年度","所屬計畫案","教師姓名","是否具有審稿制度","期刊出版地國家/地區","期刊論文是否為跨國(地區)合作","狀態","發表卷數","發表型式","發表年份","發表月份","發表期數","系所代碼","論文名稱","論文收錄分類","識別號","通訊作者"
"高齡暨健康照護管理系","第一作者","BMC Nursing","專任","114","MOST 109-2511-H-255-003-MY2","劉杏元","是","英國","否","續聘","24","電子期刊","2025","12","0","4641","Self-perceived design thinking competence among Taiwanese nursing students: a longitudinal study","SCI, SSCI, SCIE","713791","是"
"高齡暨健康照護管理系","第三作者","福祉科技與服務管理學刊","專任","114","無","蔡碧藍","是","中華民國","否","續聘","13","紙本及電子期刊","2025","2","1","4641","輕銀安全回家趣－高齡者防跌居家安全桌遊之創新產品設計","其他","713798","是"
"高齡暨健康照護管理系","第一作者","Public Health Nursing","專任","114","the Chang Gung Medical Research Project (grant numbers #CMRPF3G0063)","龔本珍","是","美國","否","續聘","42","紙本及電子期刊","2025","3","2","4641","Effectiveness of Neighborhood Care Volunteer Training Programs: A Mixed-Methods Study","SSCI, SCIE","713878","否"
"護理系","第四(以上)作者","Geriatric Nursing","專任","114","無","于素英","是","美國","否","續聘","61","電子期刊","2025","2","0","1531","Factors influencing advance care planning behaviors among geriatric nurses: knowledge, attitudes, and self-efficacy","SCIE, SSCI","713917","否"
"護理系","第一作者","Interdisciplinary Journal of Acute Care","專任","114","ZRRPF3P0041","王玉女","是","伊朗伊斯蘭共和國","是(跨國合作)","續聘","6","電子期刊","2025","12","2","1531","Associations of Calf Circumference, Nutritional Status, and Widowhood with Sarcopenia Severity in Community-Dwelling Older Adults with Dementia: Insights into Muscle Function","其他","713717","否"
"護理系","第一作者","Journal of Gerontological Nursing","專任","114","ZRRPF3M0061","王玉女","是","美國","是(跨國合作)","續聘","51","電子期刊","2025","10","10","1531","Impact of Severe Sarcopenia on Depressive Symptoms and Quality of Life in Community-Dwelling Older Adults with Dementia: A Cross-Sectional Study","SCI, SSCI","713718","是"
"護理系","第一作者","Geriatric Nursing","專任","114","ZRRPF3N0031","王玉女","是","美國","否","續聘","63","電子期刊","2025","6","0","1531","A 3-month integrated exercise intervention improves diagnostic parameters of sarcopenia in ambulatory community-dwelling older adults with dementia: A two-group pre-test/post-test design","SCI","713719","是"
"護理系","第二作者","Interdisciplinary Journal of Acute Care","專任","114","無","王玉女","是","伊朗伊斯蘭共和國","是(跨國合作)","續聘","6","電子期刊","2025","5","1","1531","Coping Strategies in Family Caregiver of Patients with Cancer: A Cross-Sectional Study","其他","713720","否"
"護理系","第三作者","長庚科技學刊","專任","114","無","王玉真","是","中華民國","否","續聘","43","紙本","2025","12","0","1531","以實證觀點探討耳穴貼壓緩解癌症病人化學治療引發噁心及嘔吐之成效","其他","713767","是"
"護理系","第四(以上)作者","彰化護理","專任","114","無","王玉真","是","中華民國","否","續聘","32","紙本","2025","3","1","1531","視覺藝術治療改善輕度認知障礙病人認 知功能及憂鬱之成效","其他","713768","是"
"護理系","第三作者","Interdisciplinary Journal of Acute Care","專任","114","無","王亞妮","是","伊朗伊斯蘭共和國","是(跨國合作)","續聘","6","電子期刊","2025","12","2","1531","Associations of Calf Circumference, Nutritional Status, and Widowhood with Sarcopenia Severity in Community-Dwelling Older Adults with Dementia: Insights into Muscle Function","其他","713669","是"
"護理系","第二作者","Life","兼任","114","NMRPG3G0091, NMRPG3J0511, NMRPG3M0421","朱彥","是","瑞士","否","新任","15","電子期刊","2025","11","15","1531","Probiotics and Phytoantioxidants Target Coronary Endothelial Dysfunction in Irregular Sleep- and Obesity-Associated Cardiometabolic Syndrome","SCIE","713935","是"
"護理系","第一作者","大學教學實務與研究學刊","專任","114","無","余怡珍","是","中華民國","否","續聘","9","電子期刊","2025","6","1","1531","多元教學策略建構學生學習成效之模式──微課、互動式模擬情境動畫、虛擬實境與同理心地圖於基本護理學暨實驗","其他","713769","否"
"護理系","第一作者","BMC Medical Education","專任","114","無","余怡珍","是","英國","否","續聘","25","電子期刊","2025","1","109","1531","Effects of empathy mapping and mini-simulation on second-year nursing students’ empathy and communication self-confidence: a quasi-experimental study","SCIE, SSCI","713770","否"
"護理系","第一作者","Cogent Education","專任","114","國科會","余怡珍","是","英國","否","續聘","12","電子期刊","2025","1","1","1531","Development of nonverbal communication behavior model for nursing students based on deep learning facial expression recognition technology","其他","713771","是"
"護理系","第四(以上)作者","Aging Clinical and Experimental Research","專任","114","無","吳佳玲","是","義大利共和國","否","續聘","37","紙本及電子期刊","2025","8","252","1531","Association between intrinsic capacity and sarcopenia in older adults with type 2 diabetes: A cross-sectional study","SCIE","713799","否"
"護理系","第二作者","護理雜誌","專任","114","無","吳美玲","是","中華民國","否","續聘","72","紙本及電子期刊","2025","8","4","1531","可信賴專業活動在護理學生的學習與能力培育的應用","其他","713697","否"
"護理系","第二作者","護理雜誌","專任","114","無","吳淑美","是","中華民國","否","續聘","72","紙本及電子期刊","2025","6","3","1531","讓世界走進來—以英語授課周產期傷慟關懷為例","其他","713787","是"
"護理系","第二作者","Nurse Education Today","專任","114","教學實踐計畫","吳筱盈","是","美國","否","續聘","155","電子期刊","2025","9","1","1531","Development and evaluation of animated instructional materials and collaborative learning for nursing research courses: An action research study","SCI","713909","否"
"護理系","第四(以上)作者","學生事務與輔導","專任","114","無","吳曉明","是","中華民國","否","續聘","64","紙本及電子期刊","2025","4","1","1531","以經驗學習觀點探究大學生部落兒童陪伴的實作與反思","其他","713792","是"
"護理系","第一作者","服務學習與社會連結學刊","專任","114","無","吳曉明","是","中華民國","否","續聘","8","紙本及電子期刊","2025","4","8","1531","當漢族學生與部落服務的相遇－人情、自然與文化的看見","其他","713793","否"
"護理系","第二作者","長庚護理","專任","114","無","巫菲翎","是","中華民國","否","續聘","36","電子期刊","2025","9","3","1531","PRECEDE模式於社區民眾B型與C型肝炎防治評估","其他","713670","是"
"護理系","第四(以上)作者","Holistic Nursing Practice","專任","114","CMRP G3J1351","巫菲翎","是","美國","否","續聘","39","紙本及電子期刊","2025","5","3","1531","The Relationship Between Voluntary Participation Status and Health Promotion Lifestyle Among Middle-Aged and Older Adults in the Community","SSCI, SCIE","713671","是"
"護理系","第二作者","台灣醫學","專任","114","無","巫菲翎","是","中華民國","否","續聘","29","電子期刊","2025","3","2","1531","衛生教育診斷評價(PRECEDE-PROCEED)模式於社區肝炎防治之成效","其他","713672","是"
"護理系","第四(以上)作者","Diabetes Research and Clinical Practice","專任","114","無","巫菲翎","是","荷蘭王國","否","續聘","222","電子期刊","2025","2","0","1531","Poor glycemic status as a risk factor for dementia in type 2 diabetes population: Findings from the Taiwan's National Health Insurance Database","SCIE","713673","是"
"護理系","第四(以上)作者","Diabetology International","專任","114","無","巫菲翎","是","日本","是(跨國合作)","續聘","16","電子期刊","2025","1","2","1531","Associations between clustering of hypoglycemic symptoms, psychological traits, and problem-solving abilities in adults with type 1 diabetes baseline data analysis of the PR-IAH study","其他","713674","否"
"護理系","第一作者","Research in Nursing & Health","專任","114","MOST 108‐2314‐B‐255 ‐007 ‐ MY2","巫菲翎","是","美國","否","續聘","48","電子期刊","2025","1","3","1531","A Mobile Health Intervention for Improving Problem-Solving Skills, Emotional Adaptation, and Glycemic Control in Patients With Type 2 Diabetes","SCI, SSCI","713675","否"
"護理系","第一作者","長庚科技學刊","專任","114","無","李以文","是","中華民國","否","續聘","0","紙本及電子期刊","2025","12","43","1531","高濃度血小板血漿於醫美照護之應用","其他","713648","否"
"護理系","第三作者","彰化護理","專任","114","無","李以文","是","中華民國","否","續聘","32","紙本及電子期刊","2025","6","2","1531","心衰竭患者接受行動醫療能否提升低鈉、限水飲食和監測體重之遵從行為","其他","713649","是"
"護理系","第一作者","彰化護理","專任","114","無","李以文","是","中華民國","否","續聘","32","紙本及電子期刊","2025","3","1","1531","心衰竭患者接受限鈉飲食對減輕體液滯留症狀和提升生活品質的效果","其他","713650","是"
"護理系","第三作者","The Journal of Nursing Research","專任","114","CMRPF1I0051","李玉秀","是","中華民國","否","續聘","33","電子期刊","2025","6","3","1531","Motivation in rare disease self-care: A phenomenological study of pediatric patients with spinal muscular atrophy and their caregivers","SCI","713639","否"
"護理系","第一作者","BMC Medical Education","專任","114","MOST 110 2511 H 255 001","李玉秀","是","英國","否","續聘","25","電子期刊","2025","3","1","1531","Personality preferences and stress perception among nursing students in different nursing programmes: A cross-sectional study","SSCI","713640","否"
"護理系","第四(以上)作者","Nursing & Health Sciences","專任","114","NCKUH-11007014","李玉秀","是","日本","否","續聘","27","電子期刊","2025","3","1","1531","Exploring care challenges and needs of people with diabetes comorbid cognitive impairment from the triangular perspectives","SCI","713641","是"
"護理系","第四(以上)作者","JMIR Medical Education","專任","114","MOST110-2511-H-255-013; 111-2410-H-255-010","李惠玲","是","加拿大","是(跨國合作)","續聘","11","電子期刊","2025","2","0","1531","Virtual Reality Simulation for Undergraduate Nursing Students for Care of Patients With Infectious Diseases: Mixed Methods Study","其他","713734","否"
"護理系","第一作者","PLOS One","兼任","114","無","林月娥","是","美國","否","新任","20","電子期刊","2025","5","5","1531","The relationships among nurses’ spiritual health, sleep quality, and stress and the factors influencing stress during the late global COVID-19 pandemic","SCIE","713864","否"
"護理系","第二作者","台灣性學學刊","專任","114","無","林秀純","是","中華民國","否","續聘","31","紙本及電子期刊","2025","12","31","1531","大學生之性知識、性態度、性行為與其愛滋病防治知識與態度之關係","其他","713723","否"
"護理系","第二作者","學生事務與輔導","專任","114","無","林淑君","是","中華民國","否","續聘","64","紙本及電子期刊","2025","4","1","1531","以經驗學習觀點探究大學生部落兒童陪伴的實作與反思","其他","713651","否"
"護理系","第二作者","服務學習與社會連結學刊","專任","114","無","林淑君","是","中華民國","否","續聘","8","紙本及電子期刊","2025","4","0","1531","當漢族學生與部落服務的相遇－人情、自然與文化的看見","其他","713652","否"
"護理系","第一作者","Medicine","專任","114","無","林嘉玲","是","美國","否","續聘","104","電子期刊","2025","9","42","1531","The association of body composition and A1c in Taiwanese adults with type 2 diabetes: A cross-sectional study","SCI","713676","否"
"護理系","第一作者","Aging Clinical and Experimental Research","專任","114","無","林嘉玲","是","義大利共和國","否","續聘","37","電子期刊","2025","8","252","1531","Association between intrinsic capacity and sarcopenia in older adults with type 2 diabetes: A cross-sectional study","SCIE","713677","否"
"護理系","第一作者","Bmj Nutrition, Prevention and Health","專任","114","無","林嘉玲","是","英國","否","續聘","8","電子期刊","2025","6","0","1531","Longitudinal changes of body composition during a 3-year follow-up in Taiwan adults with type 2 diabetes","其他","713678","否"
"護理系","第一作者","Diabetes Research and Clinical Practice","專任","114","無","林嘉玲","是","荷蘭王國","否","續聘","0","紙本及電子期刊","2025","4","222","1531","Poor glycemic status as a risk factor for dementia in type 2 diabetes population: Findings from the Taiwan's National Health Insurance Database","SCIE","713679","是"
"護理系","第二作者","榮總護理","專任","114","無","林麗美","是","中華民國","否","續聘","42","紙本及電子期刊","2025","3","1","1531","大學生護心生活型態及其相關因素之探討","其他","713680","否"
"護理系","第四(以上)作者","呼吸治療","專任","114","無","林麗美","是","中華民國","否","續聘","24","紙本及電子期刊","2025","1","1","1531","“以北部某醫學中心”呼吸治療師休閒活動參 與對職場疲勞與下背痛之相關探討","其他","713681","是"
"護理系","第一作者","長庚科技學刊","專任","114","IR-2021-002","施妙芳","是","中華民國","否","續聘","0","紙本及電子期刊","2025","6","","1531","四技護理系學生多元入學之學習成效分析","其他","713788","否"
"護理系","第三作者","學生事務與輔導","專任","114","無","洪毓婷","是","中華民國","否","續聘","64","紙本及電子期刊","2025","4","1","1531","培育學生做自己生命的主人，每位學生都是閃耀黑夜的繁星","其他","713896","是"
"護理系","第一作者","學生事務與輔導","專任","114","無","洪麗真","是","中華民國","否","續聘","64","紙本及電子期刊","2025","4","1","1531","以經驗學習觀點探究大學生部落兒童陪伴的實作與反思","其他","713698","否"
"護理系","第三作者","服務學習與社會連結學刊","專任","114","無","洪麗真","是","中華民國","否","續聘","8","紙本及電子期刊","2025","4","0","1531","當漢族學生與部落服務的相遇－人情、自然與文化的看見","其他","713699","是"
"護理系","第四(以上)作者","Nurse Education Today","專任","114","無","范君瑜","是","英國","否","續聘","158","紙本及電子期刊","2025","12","106943","1531","Occurrence and risk factors of leave of absence and dropout among undergraduate nursing students: A survival analysis","SCI, SSCI","713726","是"
"護理系","第二作者","國家菁英","專任","114","無","范君瑜","是","中華民國","否","續聘","18","紙本及電子期刊","2025","12","2","1531","台灣護理學會與考選部協力精進護理師國家考試初探","其他","713727","否"
"護理系","第四(以上)作者","Nurse Education Today","專任","114","無","范君瑜","是","英國","否","續聘","155","紙本及電子期刊","2025","12","106875","1531","Effectiveness of a transition program in enhancing newly graduated nurses’ resilience, work stress, job satisfaction, and clinical performance in post-graduate year training programs: A quasi-experimental study","SCIE, SSCI","713728","是"
"護理系","第三作者","Nurse Education in Practice","專任","114","無","范君瑜","是","英國","否","續聘","88","紙本及電子期刊","2025","10","1","1531","Effectiveness of debriefing for meaningful learning-enhanced simulation-based learning for emergency nurses’ perceptions, attitudes and coping strategies toward workplace violence: A stratified randomized trial.","SCI, SSCI","713729","是"
"護理系","第一作者","國家衛生研究院論壇","專任","114","無","范君瑜","是","中華民國","否","續聘","0","電子期刊","2025","7","0","1531","擁抱AI 時代：護理教育的轉型契機","其他","713730","否"
"護理系","第二作者","Clinical Simulation in Nursing","專任","114","無","范君瑜","是","美國","否","續聘","101","紙本及電子期刊","2025","4","1","1531","Effectiveness of a virtual simulation and self-debriefing app on nursing students' pediatric pain knowledge: A randomized controlled trial","SCIE, SSCI","713731","否"
"護理系","第一作者","長庚護理","專任","114","MOST 110-2511-H-255 -010 -MY3","范君瑜","是","中華民國","否","續聘","36","紙本","2025","3","1","1531","有意義的反饋於擬真教學上之應用","其他","713732","是"
"護理系","第二作者","Journal of Emergency Nursing","專任","114","CORPG1M0031","范君瑜","是","美國","否","續聘","51","紙本及電子期刊","2025","1","1","1531","Psychological distress and the needs of family members of critically ill patients in emergency departments during the COVID-19 pandemic: A cross-sectional study","SCIE, SSCI","713733","否"
"護理系","第三作者","長庚科技學刊","專任","114","無","倪麗芬","是","中華民國","否","續聘","0","紙本及電子期刊","2025","6","42","1531","OMP 與 ISBAR 融合設計教案提升護生交班能力之探討","其他","713653","是"
"護理系","第三作者","長庚護理","專任","114","無","倪麗芬","是","中華民國","否","續聘","36","紙本及電子期刊","2025","3","1","1531","疫情期間護生線上實習滿意度及其相關因素之探討","其他","713654","是"
"護理系","第三作者","Biochemical Pharmacology","專任","114","NMRPF3N0021 CMRPF1P0071 ZRRPF3N0101","孫念康","是","美國","否","續聘","236","紙本及電子期刊","2025","6","0","1531","H1.0 modulates IL-6 expression and paclitaxel resistance via HDAC5 in ovarian cancer cells","SCIE","713751","是"
"護理系","第四(以上)作者","Maternal and Child Health Journal","專任","114","國科會","孫瑞瓊","是","美國","否","續聘","29","紙本及電子期刊","2025","10","10","1531","Effects of a Mobile Health Intervention on Weight Control and Pregnancy Outcomes in Overweight Pregnant Women: A Randomized Controlled Trial","SSCI","713789","是"
"護理系","第四(以上)作者","Research in Nursing & Health","專任","114","國科會","孫瑞瓊","是","美國","否","續聘","48","電子期刊","2025","1","3","1531","A Mobile Health Intervention for Improving Problem-Solving Skills, Emotional Adaptation, and Glycemic Control in Patients With Type 2 Diabetes","SCI, SSCI","713790","否"
"護理系","第一作者","Journal of Enzyme Inhibition and Medicinal Chemistry","專任","114","CMRPF1P0061","徐瑞苓","是","英國","否","續聘","40","紙本及電子期刊","2025","12","1","1531","Design and synthesis of novel HDAC6 inhibitor dimer as HDAC6 degrader for cancer treatment by palladium catalysed dimerisation","SCIE","713920","否"
"護理系","第四(以上)作者","Bioorganic Chemistry","專任","114","無","徐瑞苓","是","美國","否","續聘","165","紙本及電子期刊","2025","10","0","1531","Establishing a noncanonical zinc-binding group as a selective histone deacetylase inhibitor and possible novel anticancer agent","SCIE","713921","否"
"護理系","第二作者","Molecules","專任","114","無","徐瑞苓","是","瑞士","否","續聘","30","電子期刊","2025","6","13","1531","A Novel HDAC6 Inhibitor Enhances the Efficacy of Paclitaxel Against Ovarian Cancer Cells","SCI, SCIE","713922","否"
"護理系","第四(以上)作者","Journal of Clinical Nursing","專任","114","無","徐瑩媺","是","美國","否","續聘","0","電子期刊","2025","1","0","1531","Grit in the Workplace Experienced by Taiwanese Adults With Congenital Heart Disease: A Phenomenological Study","SCI, SSCI","713795","否"
"護理系","第一作者","源遠護理","專任","114","EZRPF3L0021","張文","是","中華民國","否","續聘","19","電子期刊","2025","11","3","1531","探討某科技大學護理系技藝技能優良入學生 學習現況與需求：混合性研究","其他","713735","否"
"護理系","第一作者","Nurse Education in Practice","專任","114","PMN1110214","張文","是","英國","是(跨國合作)","續聘","86","紙本及電子期刊","2025","7","104424","1531","Effectiveness of simulation-based interprofessional education for nursing students: A mixed-methods study","SCIE, SSCI","713736","否"
"護理系","第一作者","JMIR Medical Education","專任","114","MOST 111-2410-H-255-010 -","張文","是","加拿大","是(跨國合作)","續聘","11","電子期刊","2025","1","","1531","Virtual Reality Simulation for Undergraduate Nursing Students for Care of Patients With Infectious Diseases: Mixed Methods Study","其他","713737","否"
"護理系","第三作者","臺灣老年醫學暨老年學會雜誌","專任","114","CZRPVVN0011","張怡雅","是","中華民國","否","續聘","20","紙本","2025","12","1","1531","探討社區高齡者成功老化之預測因子","其他","713773","是"
"護理系","第四(以上)作者","Sage Open Aging","專任","114","無","張怡雅","是","美國","否","續聘","11","電子期刊","2025","8","0","1531","High-Burden and Self-Efficacy Are Associated with Quality of Life in Family Caregivers in Taiwan: A Cross-Sectional Study","其他","713774","是"
"護理系","第二作者","大學教學實務與研究學刊","專任","114","無","張怡雅","是","中華民國","否","續聘","9","紙本及電子期刊","2025","6","1","1531","多元教學策略建構學生學習成效之模式──微課、互動式模擬情境動畫、虛擬實境與同理心地圖於基本護理學暨實驗","其他","713775","否"
"護理系","第四(以上)作者","Journal of Dental Sciences","專任","114","無","張美姬","是","中華民國","否","續聘","20","紙本及電子期刊","2025","10","4","1531","Roles of basic fibroblast growth factor, stem cells from dental pulp and apical papilla in the repair and regeneration of dental pulp and other tissues/organs","SCIE","713743","是"
"護理系","第一作者","Journal of Dentistry","專任","114","無","張美姬","是","英國","否","續聘","159","紙本及電子期刊","2025","8","0","1531","Impact of diabetes mellitus on periapical, periodontal, and oral health and the potential confounders: A cross-sectional study","SCIE","713744","否"
"護理系","第一作者","International Journal of Biological Macromolecules","專任","114","無","張美姬","是","荷蘭王國","否","續聘","292","紙本及電子期刊","2025","3","0","1531","Inducing phospholipase A2 and cyclooxygenase-2 expression and prostaglandins' production of human dental pulp cells by activation of NOD receptor and its downstream signaling","SCIE","713745","否"
"護理系","第一作者","Journal of Dental Sciences","專任","114","無","張美姬","是","中華民國","否","續聘","20","紙本及電子期刊","2025","1","1","1531","Bone morphogenetic protein-4 induced matrix turnover and osteogenic differentiation-related molecules of stem cells from apical papilla and its associated ALK/Smad signaling","SCIE","713746","否"
"護理系","第二作者","Educational Technology Research and Development","專任","114","無","張純純","是","美國","否","續聘","73","紙本及電子期刊","2025","6","1","1531","Concept maps in technological contexts of higher education: a systematic review of selected SSCI publications.","SSCI","713709","否"
"護理系","第一作者","Journal of Computer Assisted Learning","專任","114","無","張純純","是","美國","否","續聘","41","紙本及電子期刊","2025","4","3","1531","Promoting patients' cognitive engagement with robot‐based SIPE training: A randomized controlled study.","SSCI","713710","否"
"護理系","第三作者","Interactive Learning Environments","專任","114","無","張純純","是","英國","否","續聘","33","紙本及電子期刊","2025","4","1","1531","Realizing self-determination theory in virtual healthcare training: evidence from cancer patients’ and family members’ learning achievement and decisional conflict.","SSCI","713711","是"
"護理系","第一作者","International Journal of Mobile Learning and Organisation","專任","114","無","張純純","是","美國","否","續聘","19","紙本及電子期刊","2025","3","2","1531","Roles and contexts of the metaverse in nursing training: a mixed analysis on junior and senior nursing students' drawings and quantitative data.","其他","713712","否"
"護理系","第一作者","Journal of Computer Assisted Learning","專任","114","無","張純純","是","美國","否","續聘","41","紙本及電子期刊","2025","3","2","1531","Fostering the life skills of learners with intellectual disabilities using interactive technologies: A motivational model‐based digital game‐based training approach.","SSCI","713713","否"
"護理系","第一作者","Education and Information Technologies","專任","114","無","張純純","是","美國","否","續聘","30","紙本及電子期刊","2025","3","13","1531","Metaverse enabled collaboration for practical case handling: Triangulation authentication of performance, perceptions, and behavioral patterns.","SSCI","713714","是"
"護理系","第二作者","Educational Technology Research and Development","專任","114","無","張純純","是","美國","否","續聘","73","紙本及電子期刊","2025","2","2","1531","Promoting young students’ knowledge co construction: a concept mapping based online cooperative problem posing approach.","SSCI","713715","是"
"護理系","第二作者","Educational Technology Research and Development","專任","114","無","張純純","是","美國","否","續聘","73","紙本及電子期刊","2025","2","2","1531","From analogy to reflective thinking: An observation identification analogy based virtual learning approach.","SCI, SSCI","713716","是"
"護理系","第一作者","International Journal of Nursing Studies Advances","專任","114","NSTC 111-2314-B-255-002-MY3)","張曉雲","是","英國","是(跨國合作)","續聘","8","電子期刊","2025","6","0","1531","Development and pilot testing of an empowerment-based educational app for complementary therapies in diabetes: a Delphi study","其他","713898","是"
"護理系","第一作者","BMC Complementary Medicine and Therapies","專任","114","NSTC 111-2314-B-255-002-MY3)","張曉雲","是","英國","否","續聘","25","電子期刊","2025","4","169","1531","Breaking the silence: factors influencing complementary therapy disclosure among diabetic outpatients in Taiwan","SSCI","713899","是"
"護理系","第一作者","Nursing Reports","專任","114","無","張曉雲","是","瑞士","是(跨國合作)","續聘","15","電子期刊","2025","3","3","1531","The Impact of Self-Regulation Education Combined with Continuous Glucose Monitoring (CGM) on Diabetes Outcomes: A Randomized Controlled Study.","其他","713900","是"
"護理系","第三作者","Nursing Practice Today","專任","114","無","張曉雲","是","伊朗伊斯蘭共和國","是(跨國合作)","續聘","12","電子期刊","2025","3","2","1531","AI-driven fall risk prediction in inpatients: Development, validation, and comparative evaluation","其他","713901","是"
"護理系","第二作者","長庚科技期刊","專任","114","無","張麗春","是","中華民國","否","續聘","0","紙本及電子期刊","2025","12","43","1531","生成式人工智慧應用於醫學教育的可行方式","其他","713685","是"
"護理系","第三作者","學校衛生護理期刊","專任","114","無","張麗春","是","中華民國","否","續聘","32","電子期刊","2025","12","0","1531","人工智慧科技於幼兒近視防治之應用：近距離用眼行為監測與實務展望","其他","713686","是"
"護理系","第一作者","BMC Nursing","專任","114","無","張麗春","是","英國","否","續聘","24","電子期刊","2025","11","0","1531","Relationships between ChatGPT use with selfdirected learning and critical thinking among school and university nurses in Taiwan","SSCI, SCIE","713687","否"
"護理系","第四(以上)作者","Digital Health","專任","114","NSTC111-2314-B-255-004-MY3","張麗春","是","英國","否","續聘","11","紙本及電子期刊","2025","11","0","1531","A web-based, user-centered decision aid to support parental choices in myopia control: A development and usability study","SCIE, SSCI","713688","是"
